crawl_type,business_entity,model,skill,source_url,page_url,page_title,text_sample,status,error_message,level1_url,level2_url,level3_url,supplier_url
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&region=武汉,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&region=武汉,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&time=nextyear&region=沈阳,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=1&time=nextyear&region=沈阳,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3&months=7&time=thisyear&region=沈阳,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3&months=7&time=thisyear&region=沈阳,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3&region=武汉,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3&region=武汉,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3&region=武汉&time=preyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3&region=武汉&time=preyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3&region=重庆,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=3&region=重庆,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=4&months=7&time=thisyear&region=杭州,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=4&months=7&time=thisyear&region=杭州,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=4&region=杭州&time=preyear,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=4&region=杭州&time=preyear,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=4&time=preyear&region=北京,产品分类 L2,分类层级 leibie=2,success,,,https://www.qcgys.com/article.php?cid=63&leibie=2&nianfen=2024&yuefen=4&time=preyear&region=北京,,
